Entity,Definition
Sun,The Sun is the star at the center of the Solar System.
Shadow,A shadow is a dark area where light from a light source is blocked by an opaque object.
SCIENCE (journal),Not found on Wikipedia
Mirror,A mirror or looking glass is an object that reflects an image.
Mirror,A mirror or looking glass is an object that reflects an image.
Night,"Night (also described as nighttime, unconventionally spelled as ""nite"") is the period of ambient darkness from sunset to sunrise during each 24-hour day, when the Sun is below the horizon."
Light switch,"In electrical wiring, a light switch is a switch most commonly used to operate electric lights, permanently connected equipment, or electrical outlets."
Mirror,A mirror or looking glass is an object that reflects an image.
Mirror,A mirror or looking glass is an object that reflects an image.
Col sheet,Not found on Wikipedia
Paper,"Paper is a thin sheet material produced by mechanically or chemically processing cellulose fibres derived from wood, rags, grasses or other vegetable sources in water, draining the water through fine mesh leaving the fibre evenly distributed on the surface, followed by pressing and drying."
Torch,"A torch is a stick with combustible material at one end, which can be used as a light source or to set something on fire."
Observable pattern,Not found on Wikipedia
Mirror,A mirror or looking glass is an object that reflects an image.
Mirror,A mirror or looking glass is an object that reflects an image.
Mirror,A mirror or looking glass is an object that reflects an image.
Square6,Not found on Wikipedia
Square6,Not found on Wikipedia
Square6Shadow,Not found on Wikipedia
Square6Pinhole camera,Not found on Wikipedia
square6Light,Not found on Wikipedia
Square6Mirror reflection,Not found on Wikipedia
 opaque object,Not found on Wikipedia
Polythene,Not found on Wikipedia
Circular shadow,Not found on Wikipedia
Reflection of oneself in a mirror,Not found on Wikipedia
A (Latin phrase),Not found on Wikipedia
Mirror,A mirror or looking glass is an object that reflects an image.
Reflection (physics),Reflection is the change in direction of a wavefront at an interface between two different media so that the wavefront returns into the medium from which it originated.
Learning,"Learning is the process of acquiring new understanding, knowledge, behaviors, skills, values, attitudes, and preferences."
Comb (hair care),Not found on Wikipedia
Ther e,Not found on Wikipedia
Right hand,Not found on Wikipedia
Higher education,Higher education is tertiary education leading to the award of an academic degree.
Refle,Not found on Wikipedia
Ask another friend also holding a mirr,Not found on Wikipedia
Mirror,A mirror or looking glass is an object that reflects an image.
Mirror,A mirror or looking glass is an object that reflects an image.
Transpar ent,Not found on Wikipedia
Just So Stories,Just So Stories for Little Children is a 1902 collection of origin stories by the British author Rudyard Kipling.
Tree trunk,Not found on Wikipedia
Darkness,"Darkness, the direct opposite of lightness, is defined as a lack of illumination, an absence of visible light, or a surface that absorbs light, such as black."
Electricity and Circuits,Not found on Wikipedia
Lighting,Lighting or illumination is the deliberate use of light to achieve practical or aesthetic effects.
Electricity,Electricity is the set of physical phenomena associated with the presence and motion of matter that has a property of electric charge.
Torch,"A torch is a stick with combustible material at one end, which can be used as a light source or to set something on fire."
ELECTRIC CELL,Not found on Wikipedia
Cell cap,Not found on Wikipedia
T cell,T cells are one of the important types of white blood cells of the immune system and play a central role in the adaptive immune response.
Electric Cell metal cap,Not found on Wikipedia
Negative terminal,Not found on Wikipedia
Positive terminal,Not found on Wikipedia
Electric cell,Not found on Wikipedia
Electrical substation,"A substation is a part of an electrical generation, transmission, and distribution system."
Electricity,Electricity is the set of physical phenomena associated with the presence and motion of matter that has a property of electric charge.
Death,Death is the irreversible cessation of all biological functions that sustain an organism.
Electric socket,Not found on Wikipedia
Generator,Generator may refer to:
Electric cell,Not found on Wikipedia
Glass,"Glass is a non-crystalline, often transparent, amorphous solid that has widespread practical, technological, and decorative use in, for example, window panes, tableware, and optics."
Light bulb,Not found on Wikipedia
Take out the bulb,Not found on Wikipedia
Wire,A wire is a flexible strand of metal.
2 b,Not found on Wikipedia
Bulb,"In botany, a bulb is structurally a short stem with fleshy leaves or leaf bases that function as food storage organs during dormancy."
Fig. filament,Not found on Wikipedia
Case (optical bulb),Not found on Wikipedia
Wire,A wire is a flexible strand of metal.
Terminal (optical bulb),Not found on Wikipedia
Microsoft Windows,Windows is a group of several proprietary graphical operating system families developed and marketed by Microsoft.
Electric light bulb,Not found on Wikipedia
Terminal (electricity),Not found on Wikipedia
Computer terminal,"A computer terminal is an electronic or electromechanical hardware device that can be used for entering data into, and transcribing data from, a computer or a computing system."
Electric cell,Not found on Wikipedia
Wire,A wire is a flexible strand of metal.
Wire,A wire is a flexible strand of metal.
Wire,A wire is a flexible strand of metal.
Torch (light bulb),Not found on Wikipedia
Switch,"In electrical engineering, a switch is an electrical component that can disconnect or connect the conducting path in an electrical circuit, interrupting the electric current or diverting it from one conductor to another."
Y es,Not found on Wikipedia
Light bulb,Not found on Wikipedia
Terminal (electric),Not found on Wikipedia
Terminal,Terminal may refer to:
Piano Concerto No. 2 (Handel),Not found on Wikipedia
Rubber band,"A rubber band (also known as an elastic band, gum band or lacky band) is a loop of rubber, usually ring or oval shaped, and commonly used to hold multiple objects together."
Fig,"The fig is the edible fruit of Ficus carica, a species of small tree in the flowering plant family Moraceae."
Light bulb,Not found on Wikipedia
Electric cell,Not found on Wikipedia
IRCUIT,Not found on Wikipedia
Electric cell,Not found on Wikipedia
Electrical terminal,Not found on Wikipedia
Electrical network,"An electrical network is an interconnection of electrical components (e.g., batteries, resistors, inductors, capacitors, switches, transistors) or a model of such an interconnection, consisting of electrical elements (e.g., voltage sources, current sources, resistances, inductances, capacitances)."
Electric current,"An electric current is a stream of charged particles, such as electrons or ions, moving through an electrical conductor or space."
Electric current,"An electric current is a stream of charged particles, such as electrons or ions, moving through an electrical conductor or space."
Terminal (electric circuit),Not found on Wikipedia
Fuse (electricity),Not found on Wikipedia
Bulb,"In botany, a bulb is structurally a short stem with fleshy leaves or leaf bases that function as food storage organs during dormancy."
