entity1,entity_1_type,entity2,entity_2_type,relation,sentence
Zinc,material,Iron,medication,subclass of,"Magnesium Mg2+ Oxide O2- Carbonate CO3 2– Calcium Ca2+ Sulphide S2- Sulphite SO3 2– Zinc Zn2+ Sulphate SO4 2– Iron (II)* Fe2+ Copper (II)* Cu2+ 3.
"
Aluminium,medication,Nitride,None,made from material,"Aluminium Al3+ Nitride N3- Phosphate PO4 3– Iron (III)* Fe3+ Rationalised 2023-24  ATOMS AND MOLECULES 33 3.
"
Cation,molecular entity,Ion,molecular entity,followed by,"Formula of carbon tetrachloride For magnesium chloride, we write the symbol of cation (Mg2+) first followed by the symbol of anion (Cl-).
"
4.4.4,video game,Konami,video game developer,publisher,"4.
"
Formula of magnesium chloride,None,Magnesium chloride,None,facet of,"Formula of magnesium chloride Formula : MgCl2 Thus, in magnesium chloride, there are two chloride ions (Cl-) for each magnesium ion (Mg2+).
"
Neutral charge,charge,Positive charge,charge,opposite of,"The positive and negative charges must balance each other and the overall structure must be neutral.
"
Calcium oxide,None,Aluminium oxide,nan,different from,"Some more examples (a) Formula for aluminium oxide: Formula : Al2O3 (b) Formula for calcium oxide: Here, the valencies of the two elements are the same.
"
Carbon dioxide,None,Oxygen,chemical element,instance of,"You may arrive at the formula Ca2O2.
"
Calcium oxide,None,Organic acid,nan,instance of,"But we simplify the formula as CaO.
"
Metal,material,Nonmetal,chemical substance,opposite of,"• when a compound consists of a metal and a non-metal, the name or symbol of the metal is written first.
"
Nonmetal,chemical substance,Metal,material,opposite of,"For example: calcium oxide (CaO), sodium chloride (NaCl), iron sulphide (FeS), copper oxide (CuO), etc., where oxygen, chlorine, sulphur are non- metals  and are written on the right, whereas calcium, sodium, iron and copper are metals, and are written on the left.
"
Polyatomic ion,ion,Ion,molecular entity,subclass of,"• in compounds formed with polyatomic ions, the number of ions present in the compound is indicated by enclosing the formula of ion in a bracket and writing the number of ions outside the bracket.
"
Polyatomic ion,ion,Ion,molecular entity,subclass of,"In case the number of polyatomic ion is one, the bracket is not required.
"
NaOH,None,Organic compound,nan,instance of,"For example, NaOH.
"
Binary compound,compound,Chemical compound,group or class of chemical substances,subclass of,"3.4.1 FORMULAE OF SIMPLE COMPOUNDS The simplest compounds, which are made up of two different elements are called binary compounds.
"
Chemical compound,group or class of chemical substances,Chemical compound,group or class of chemical substances,has parts of the class,"You can use these to write formulae for compounds.
"
Hydrogen chloride,None,Hydrogen chloride,None,instance of,"Formula of hydrogen chloride Formula of the compound would be HCl.
"
2.2,"version, edition, or translation",3.1,"version, edition, or translation",followed by,"2.
"
Carbon dioxide,None,Carbon,chemical element,has parts of the class,"Formula of hydrogen sulphide Rationalised 2023-24  SCIENCE 34 following formulae: (i) Al2(SO4)3 (ii) CaCl2 (iii) K2SO4 (iv) KNO3 (v) CaCO3.
"
3.3,"version, edition, or translation",4.1,"version, edition, or translation",followed by,"3.
"
Chemical formula,group,Chemistry,academic discipline,part of,"What is meant by the term chemical formula?
"
4.4.4,video game,Konami,video game developer,publisher,"4.
"
Ion,molecular entity,Molecule,molecular entity,subclass of,"How many atoms are present in a (i) H2S molecule and (ii) PO4 3– ion?
"
3.5 Molecular Mass,unit of mass,Atomic mass,physical quantity,measured physical quantity,"3.5 Molecular Mass 3.5.1 MOLECULAR MASS In section 3.2.2 we discussed the concept of atomic mass.
"
Mass,physical quantity,Mass,physical quantity,calculated from,"This concept can be extended to calculate molecular masses.
"
Atomic mass,unit of mass,Mass,physical quantity,measured physical quantity,"The molecular mass of a substance is the sum of the atomic masses of all the atoms in a molecule of the substance.
"
Atomic mass unit,unit of mass,Relative mass,physical quantity,measured physical quantity,"It is therefore the relative mass of a molecule expressed in atomic mass units (u).
"
Water,None,Hydrogen,chemical element,part of,"Example 3.1 (a) Calculate the relative molecular mass of water (H2O).
"
Mass,physical quantity,Mass,physical quantity,calculated from,"(b) Calculate the molecular mass of HNO3.
"
Atomic mass,unit of mass,Atomic mass,physical quantity,measured physical quantity,"Solution: (a) Atomic mass of hydrogen = 1u, oxygen = 16 u So the molecular mass of water, which contains two atoms of hydrogen and one atom of oxygen is = 2 × 1+ 1×16 = 18 u (b) The molecular mass of HNO3 = the atomic mass of H + the atomic mass of N+ 3 × the atomic mass of O = 1 + 14 + 48 = 63 u 3.5.2 FORMULA UNIT MASS The formula unit mass of a substance is a sum of the atomic masses of all atoms in a formula unit of a compound.
"
Molecular mass,mass,Mass,physical quantity,subclass of,"Formula unit mass is calculated in the same manner as we calculate the molecular mass.
"
Sodium nitrate,None,Calcium hydroxide,None,different from,"The only difference is that (c) Formula of sodium nitrate: Formula : NaNO3 (d) Formula of calcium hydroxide: Formula : Ca(OH)2 Note that the formula of calcium hydroxide is Ca(OH)2 and not CaOH2.
"
Hydroxy group,functional group,Functional group,moiety,instance of,"Here, the bracket around OH with a subscript 2 indicates that there are two hydroxyl (OH) groups joined to one calcium atom.
"
Atom,composite particle,Oxygen,chemical element,has parts of the class,"In other words, there are two atoms each of oxygen and hydrogen in calcium hydroxide.
"
Sodium carbonate,None,Ion,molecular entity,instance of,"(e) Formula of sodium carbonate: Formula : Na2CO3 In the above example, brackets are not needed if there is only one ion present.
"
Sodium oxide,None,Aluminium chloride,None,followed by,"Write down the formulae of (i) sodium oxide (ii) aluminium chloride (iii) sodium suphide (iv) magnesium hydroxide 2.
"
Chemical element,second-order class,Chemical compound,group or class of chemical substances,part of,"• In a pure chemical compound, elements are always present in a definite proportion by mass.
"
Law of Definite Proportions,theorem,Proportion,statistic,instance of,"This is known as the Law of Definite Proportions.
"
Chemical element,second-order class,Chemical property,quality,has quality,"• An atom is the smallest particle of the element that cannot usually exist independently and retain all its chemical properties.
"
Chemical element,second-order class,Chemical compound,group or class of chemical substances,part of,"• A molecule is the smallest particle of an element or a compound capable of independent existence under ordinary conditions.
"
Chemical property,quality,Chemical substance,group or class of chemical substances,part of,"It shows all the properties of the substance.
"
Chemical compound,group or class of chemical substances,Chemical element,second-order class,has parts of the class,"• A chemical formula of a compound shows its constituent elements and the number of atoms of each combining element.
"
Polyatomic ion,ion,Ion,molecular entity,subclass of,"• Clusters of atoms that act as an ion are called polyatomic ions.
"
Chemical formula,formula,Chemical compound,group or class of chemical substances,depicts,"• In ionic compounds, the charge on each ion is used to determine the chemical formula of the compound.
"
Ion,molecular entity,Chemical substance,group or class of chemical substances,subclass of,"we use the word formula unit for those substances whose constituent particles are ions.
"
NaCl,None,Sodium chloride,None,instance of,"For example, sodium chloride as discussed above, has a formula unit NaCl.
"
Unit of mass,unit of measurement,Mass,physical quantity,measured physical quantity,"Its formula unit mass can be calculated as– 1 × 23 + 1 × 35.5 = 58.5 u Example 3.2 Calculate the formula unit mass of CaCl2.
"
Carbon monoxide,None,Carbon,chemical element,has parts of the class,"Solution: Atomic mass of Ca + (2 × atomic mass of Cl) = 40 + 2 × 35.5 = 40 + 71 = 111 u Q uestions 1.
"
Carbon dioxide,None,Oxygen,chemical element,has parts of the class,"Calculate the molecular masses of H2, O2, Cl2, CO2, CH4, C2H6, C2H4, NH3,  CH3OH.
"
2.2,"version, edition, or translation",3.1,"version, edition, or translation",followed by,"2.
"
Unit of mass,unit of measurement,Atomic mass,physical quantity,measured physical quantity,"Calculate the formula unit masses of ZnO, Na2O, K2CO3, given atomic masses of Zn = 65 u, Na = 23 u, K = 39 u, C = 12 u, and O = 16 u.
"
Right hand,cardinal body part,Left hand,cardinal body part,opposite of,"Each student should hold two placards, one with the symbol in the right hand and the other with the valency in the left hand.
"
Exercises 1,None,Physical exercise,type of sport,part of,"Exercises 1.
"
